Text Editor,Why did you choose that editor ?,
Emacs,cool,1
Emacs,I can do almost everything within it. It is also very customisable.,2
Emacs,What I know,3
Emacs,wanted to be alternative,4
Emacs,Spacemacs!  Using the vim config.  I just can't get those vim commands out of my fingers,5
Emacs,"org-mode, org-noter, org-babel, org-journal, inline latex, plays nicely with tiling wm",6
Emacs,Professor used it,7
Emacs,Emacs + Evil mode = Bliss,8
Emacs,Reeee,9
Emacs,"Power, many packages available for configuration",10
Emacs,"light, very customizable",11
Emacs,Orgmode and AucTeX,12
Emacs,feels faster to develop in,13
Emacs,lkbhjvghcdrytfuygkhj,14
Emacs,ease of use and possibilities,15
Emacs,Mentors used it,16
Emacs,It was recommended in the web as a very verdatile tool. ,17
Emacs,customizability and user interface (shortcuts),18
Emacs,I like the indenting and i like people hating me,19
,,
Total ,19/822,
