Text Editor,Why did you choose that editor ?
Notepad ++,"I got a new laptop and could not remember the name of the one I used to use on my old dead one. And used Notepad++ awhile back and remembered it's name. Thanks to this survey I might install Atom again, as that is the one I forgot. "
Notepad ++,"90% of the time all I need is syntax highlighting, multi-file search, and a hex editor."
Notepad ++,It’s nice I guess
Notepad ++,"Ease of use, simple interface, compatibility. "
Notepad ++,I don’t know I’ve always used it
Notepad ++,code highlighting and more tricks than regular notepad
Notepad ++,Its the only one I have used
Notepad ++,The only one I’ve used
Notepad ++,Simple works with many files types
Notepad ++,It’s magic :)
Notepad ++,"This was the first editor I used in school, I'm used to it"
Notepad ++,Free
Notepad ++,Familiarity
Notepad ++,"Ease of access, one of few listed that I’m aware of. Recognizable brand."
Notepad ++,"Simple, lightweight, and it gets the job done. "
Notepad ++,Easy to use.
Notepad ++,"I saw recommendations online quite a few years ago for it and ended up liking it, so I have stuck with it since."
Notepad ++,It’s great!
Notepad ++,I forget.
Notepad ++,Macros and plugins
Notepad ++,"Easy to use (I also like word, but didn't feel like putting it)"
Notepad ++,Is nice
Notepad ++,Better version of notepad 
Notepad ++,Just works
Notepad ++,cus its my favorite? retard?
Notepad ++,Easy to use on the go and doesn't take up much space
Notepad ++,Enjoyed it on my Windows workstation over the other options
Notepad ++,Versatile 
Notepad ++,Im used to it
Notepad ++,Simplicity
Notepad ++,A university course required it.
Notepad ++,"Clean, and simple."
Notepad ++,It feels nice to use and its just what I have installed so it works
Notepad ++,Got used with it 
Notepad ++,It's fast. Easy to use. Has code highlighting when I need it. 
Notepad ++,It’s the only one I know sir
Notepad ++,It's simple and effective
Notepad ++,"Recommended by friend, really easy to use."
Notepad ++,It's simple and the themes.
Notepad ++,ease of use
Notepad ++,It was recommended to me by a friend.
Notepad ++,"Popular, Windows, well supported, easy to use."
Notepad ++,Clean UI and easy to use. Also habit from old 2010 YouTube coding tutorials 
Notepad ++,"I like it, it’s clean."
Notepad ++,Clean UI and easy to use. Also habit from old 2010 YouTube coding tutorials 
Notepad ++,Versatile and straightforward
Notepad ++,Habit. 
Notepad ++,Ease of use 
Notepad ++,It was the first one that was ever available to me
Notepad ++,"Very simple, and aesthetically pleasing."
Notepad ++,idk
Notepad ++,compatibility 
Notepad ++,"First one I used, never saw a reason to change"
Notepad ++,Because I am a lame noob and haven't tried the others. 
Notepad ++,Easy
Notepad ++,It’s what I started with 
Notepad ++,It's a e s t h e t i c
Notepad ++,Free and Windows
Notepad ++,It really do be like that sometimes
Notepad ++,"Tabs, auto save, portable, plugins"
Notepad ++,Its easy to use and it auto saves.
Notepad ++,Simple design
Notepad ++,"Free, pwowerful, and never had a reason to look for at what the other options might have"
Notepad ++,I heard a lot of good things about it
Notepad ++,"Primary reason, its the only one i really know. A second reason is that it's lightweight."
Notepad ++,It's simple and free
Notepad ++,Discovered it when learning to write a batch file.
Notepad ++,"Great for small scripts, very fast"
Notepad ++,Im a hozer
Notepad ++,"Quick, easy, and I happened upon it first"
Notepad ++,Like it
Notepad ++,Vim was too scary
Notepad ++,No particular reason. 
Notepad ++,Second best editor than vs
Notepad ++,"Easy do use, highly functional, lightweight, portable "
Notepad ++,uhhh....
Notepad ++,Yes
Notepad ++,it easy
Notepad ++,"It looks the cleanest to me, and ive always used this"
Notepad ++,It's the one I use the most.
Notepad ++,"The name Notepad ++ sounds more user friendly, haven’t tried others"
Notepad ++,"Don't need a lot if customization, feels nice."
Notepad ++,Reee
Notepad ++,"Primarily a windows user, I like the formatting and color coding"
Notepad ++,I’ve always used it
Notepad ++,I study that in school
Notepad ++,"Light, fast, and clean."
Notepad ++,convenient and colorful
Notepad ++,Familiar to me now.
Notepad ++,Simple
Notepad ++,"Recommended by others, really simple, works with everything"
Notepad ++,Cuz it's sumple :) 
Notepad ++,"Vs code for editing, but np++ to look at programs or modify them"
Notepad ++,It is the most convenient for me
Notepad ++,Nice
Notepad ++,Lightweight n' easy
Notepad ++,CuZ
Notepad ++,it's awesome
Notepad ++,It's quick and easy to use
Notepad ++,"It's fast, small, edits files, does not need any imported projects. Also viewing two files at the same time and working on them is very easy. Most simple and best best editor in my opinion. Couldn't find a better one yet."
Notepad ++,"It has all the functions i need, easy to use etc, compatible with literally anything. Just a good program all-around."
Notepad ++,Used in school
Notepad ++,It can do everything
Notepad ++,"First one I tired, recommended from uni lecturer"
Notepad ++,Lightweight GUI text editor
Notepad ++,"Havn't got a lot of experience with other text editors, I use notepad++ to edit html and CSS, I like that it's free and has tag highlighting and some other helpful tools"
Notepad ++,"Easy to pickup, lightweight, all the features I need."
Notepad ++,It was suggested to be used for a class and I just stuck with it.
Notepad ++,Cause it’s ++ and not just +
Notepad ++,First editor I've used. I have no reason to switch to anything else.
Notepad ++,"Fast, light, gets the job done. Not my IDE though, I use pycharm as my IDE"
Notepad ++,I don't code
Notepad ++,"that's the first editor I was thought, really "
Notepad,Default
Notepad ++,Because
Notepad ++,It worked so I didn’t try anything else 
Notepad ++,I like it's simplicity. It doesn't require additional set up. Atom is good for it's plug ins and I use that for python. 
Notepad ++,Using it for a long time
Notepad ++,It’s the best and free
Notepad ++,Why not ?
Notepad or word,"Its what im used to. Notepad to jot something down quickly and saved to the desktop as a reminder. Word has tables and good formatting, and for editing papers or documentation it works well. "
Notepad ++,works best for me
Notepad ++,It didn't require a download
Notepad ++,"Easy to use, simple UI"
Notepad ++,"Free, fast, and easy to use. Atom is slow as hell. "
Notepad ++,dont know the others
Notepad ++,A friend recommended it
Notepad ++,"Tabs, lightweight "
Notepad ++,Simple
Total,129/822
