Text Editor,Why did you choose that editor ?
IntelliJ ,"All in one editor, plugins, nice ui, easy to use"
Caret,ChromeOS
Pycharm,"It has great built in features for dependencies, git, and it's attractive. "
nano,Just cuz
Pycharm,Simple and easy to use.
IntelliJ IDEA / PyCharm,It was recommended by a friend. Only other editor I tried was Geany.
Nano,Powerful yet easy to use
Pycharm,It’s very good
Intellij,its good for java
Matlab,It comes with matlab
Pycharm,"Easy to use, free professional upgrade for students"
Intellij IDEA,"I used Eclipse, but people told me to get IntelliJ so I did. Awesome kotlin support+great debugger"
PHPStorm,"I work on PHP and Jetbrains offers that for PHP. It has one of the best search, great integrations for Database, Terminal and Version Control with Docker and Vagrant. Great Debugging Experience. Literally that's all that I need running to have running for building any app from start to finish. "
IntelliJ,"This editor does auto corrections and creates a folder inside a file with everything related to the program (classes, text files, html)"
Dreamweaver ,Nice shortcuts and integration for web dev code 
Webstorm,It's a fully integrated IDE with tons of features to make development easier
PyCharm,Array of tools available for debugging etc.
Pycharm,"Easy to use, good looking and is very neat."
Gedit,Idk
Rubymine ,"Really good refactor, checking and generators. "
Xcode or Brackets,"Good for C/C++/Obj-C/Swift in Xcode, good for WedDev/Python for Brackets"
Brackets ,A PhD student in my lab recommended it.
"Webstorm, PHPStorm",Pretty good IDE
RStudio,"because, R."
Phpstorm,the synergy between us
PhpStorm,"Looks, plugins, usability etc."
Geany,It's my favorite. On windows I use Notepad++
pycharm,It has a lot of cool features plus its free for students
Idea ,It looks nice 
Brackets,Live preview built in
Pycharm,Mostly write Python and it has a lot of built-in tools
IntelliJ,Well i mainly code in java
Brackets,Because I am able to create live server(basically when I run my code on localhost and every time I save it automatically resets web page)
IntelliJ,Great for javascript and Angluar
PyCharm,It fullfills all my desires.
Nano,Because I know how to fucking exit it
Kate,It has lots of handy features and integrates well with KDE.
Intellij IDEA,Good
Dreamweaver,"Live viewing, know it best"
nano,easy to use and available on most *nix systems.
vi,it's in every linux distribution and it always works
Eclipse,It’s the one my professor makes us use
Eclipse,Used to it.
scite,easy to use
PyCharm,im doing with pycharm since I have started with programming
brackets,"I like the customization options. I am also quite fond of adobe software, so i gravitated to  brackets since adobe makes it."
Total,46/822
