Text Editor,Why did you choose that editor ?
Sublime Text,It’s easy to use and it’s simple
Sublime Text,It is fast to use and you can download plug ins to make programming easier.
Sublime Text,"Easy to use and setup, many extensions available "
Sublime Text,It was the second editor I used after using emacs and I preferred it to the others I tried in the future. Second favorite is VIM if I need to use CLI. 
Sublime Text,"Because it was the first one I chose, and I liked it."
Sublime Text,Simple 
Sublime Text,First editor I learned about
Sublime Text,I use it
Sublime Text,Didn't wanna use vim
Sublime Text,I like the look :)
Sublime Text,"First one i used and it does everything i need, so i don’t have a reason to switch."
Sublime Text,I've been using it for years.
Sublime Text,Because I saw it on YouTube(s) and knew I needed something better than the default one that comes with python.
Sublime Text,Dark theme rules :)
Sublime Text,"Lightweight, simple, clutter free and good dev support"
Sublime Text,Packages.
Sublime Text,I like it the best
Sublime Text,Most recommended on iOS. 
Sublime Text,"Initially I used atom, it was kinda slow and took a lot of time to launch, even after launch it had troubles with multiple files open. Sublime came in as a nice alternative, it launches fast, can handle long files easily, not to mention it's smaller than others"
Sublime Text,Easy. Free
Sublime Text,"I've been using it for years, it's nice and does the job with no frills."
Sublime Text,Easy to read and organize
Sublime Text,"Lots of packages, and easy to use on windows"
Sublime Text,Its easy and pleasing to the eye
Sublime Text,"Execution speed, plugin ecosystem, out-of-the-box features"
Sublime Text,I like the color scheme and it was the text editor recommended to me by my first tutorial
Sublime Text,Because I haven’t used any others. I’m new to this stuff. 
Sublime Text,Cause
Sublime Text,Packages that save me time
Sublime Text,Packages that save me time
Sublime Text,It’s just what I learned to code on
Sublime Text,"Easy to use, small to install,  nicely color coded, usable for all languages"
Sublime Text,I’ve been using it for years and have tried many of the others but have been able to get as comfortable with them as I am with Sublime
Sublime Text,Recommended by a friend ~5 years ago. Was using notepad++ untill then.
Sublime Text,It's what I used while in school. Now when I try others I get frustrated re-learning everything and always switch back.
Sublime Text,"Efficiency, really fast and look"
Sublime Text,I like it
Sublime Text,It's the one text editor from the list that I've worked with most.
Sublime Text,That’s what I use..
Sublime Text,UI
Sublime Text,First programming editor is started with. Saw YouTube tutorials for advanced stuff and stuck with it
Sublime Text,"Extensive packages, very lightweight and minimalist in design."
Sublime Text,Basic text editor with multiple languages support
Sublime Text,Community plugins and not rough on memory like Atom
Sublime Text,"easy to use, good support for web development"
Sublime Text,Fast and can open very large files with ease. 
Sublime Text,Its easy to use! :D
Sublime Text,The color schemes.
Sublime Text,Friend's recommendation
Sublime Text,"fast, crossplatform and customizable"
Sublime Text,Bases on peoples recommandation
Sublime Text,Used to it
Sublime Text,"Its easy to use, lightweight  and works on a Mac "
Sublime Text,Simplicity and speed.
Sublime Text,Uhhhhh
Sublime Text,Ultra responsive and lightweight.  I can run many instances at once and it starts up in less than 5 seconds. 
Sublime Text,Its a lightweight cross platform ide with a lot of packages and themes. Also has nice programming language support.
Sublime Text,Fast and native
Sublime Text,"Low RAM usage, pretty colors "
Sublime Text,Vim was too hard
Sublime Text,Cross platform and design
Sublime Text,Same text editor the my instructor is using
Sublime Text,Customization and keyboard shortcuts
Sublime Text,"Nice colors, supports different languages, easy to use. It's just more than notepad but just less than a full ide. It's perfect for editing text files or whoops a little cpp bug I need to fix real quick without launching whole shebang. "
Sublime Text,Idk
Sublime Text,"I don't want to use a sluggish electron based software for editing, and I don't want to commit to the learning curve of vim. Sublime hits that sweet spot in the middle where I am very productive and it stays out of my way. "
Sublime Text,Fuck 
Sublime Text,"I was told to by the internet. And if it means anything, I primarily coded in Python at the time."
Sublime Text,Fuck 
Sublime Text,It was recommended by my course instructor
Sublime Text,"Launchable thru Steam, nice color palette, recommended by friend."
Sublime Text,I like the overhead view on the right that it has.
Sublime Text,S P E E D
Sublime Text,Ease of use
Sublime Text,Because it was recommended years ago
Sublime Text,every developer i know uses it and you can use it for free
Sublime Text,Power user text editor while staying out of the way. 
