Text Editor,Why did you choose that editor ?
Vim,Originally for remote editing.  Pretty much began using it for all editing after grokking the power of modal editing.
Vim,"Flexibility, low memory usage, ergonomics"
Vim,because it chose me
Vim,It’s nice to use
Vim,Makes me look sophisticated 
Vim,Always available. Rarely need to leave home row 
Vim,the first one i tried
Vim,"Began using vim in terminal for school. Just stuck with it. Though I sometimes use sublime, and am looking into vs code"
Vim,"Was using atom, but as I learned more I started using the command line more and more, so it made since to move to him. Plus, atom was slow "
Vim,Modal editing
Vim,It’s simple
Vim,Vim is powerful and runs on everything. Once I learned the basics I never looked back. 
Vim,Because I use it every day...?
Vim,i hated electron and loved the plugins and the no mouse allowed part
Vim,Because geeks use it!
Vim,I use arch BTW
Vim,Speed 
Vim,Because it's pretty standard. It works well in most evivronments. 
Vim,Ease of mobility
Vim,Autism
Vim,Its everywhere
Vim,Long term use in any environment 
Vim,Simplicity
Vim,Oldschool
Vim,I saw other people using it and thought it looked cool.
Vim,Learned it a while ago like using it 
Vim,Cause
Vim,"It's simple, powerful, and runs easily on any machine, headless or not."
Vim,a
Vim,Very versatile. 
Vim,Because it makes code fly fast from my fingers 
Vim,Extremely lightweight and powerful
Vim,Installed on every Linux machine by default. Easy to customize. Lightweight
Vim,vim keybindings and plugins
Vim,Source code on server
Vim,Lightweight
Vim,"it's universally available, works on command line, and the shortcuts are amazinf"
Vim,"Lightweight, keyboard shortcuts foreverything  and extremely customizable"
Vim,Most versatile. Can be plugin in other editors.
Vim,Efficiency 
Vim,"Vim is the most streamlined, convenient, and fastest editor"
Vim,"I work in bioinformatics, and everything is done via the command line, so it is much easier to use a built-in editor than an external one. Vim was the one I was taught in my CS undergrad classes, and it's the one I use at work now. I've tried nano, but I'm so used to vim that it's hard to switch. My favourite external text editor though, is Sublime Text."
Vim,"First I used, love the more GUI based like VS Code and Atom but vim holds a special place in my heart."
Vim,"It was recommended to me by a close friend. It's lightweight, cli friendly, massively extensible, and vi is on almost all Linux/UNIX systems."
Vim,Because it's amazing
Vim,Memes
Vim,Useful and available everywhere
Vim,Most editing of text files is through a CLI if not an IDE. 
Vim,dank
Vim,"Faster, confortable, customizable, usable within a terminal"
Vim,"Fast, works in a terminal, awesome to use, has plugins"
Vim,Just
Vim,Customisability and easy to use
Vim,It's very personalizable
Vim,Efficency
Vim,Efficency
Vim,"I wanted to learn something ""cool"" when I started and now every other editor feels slow to me "
Vim,I love fast navigation with the keyboard shortcuts cuts
Vim,"Because I am a pompous bastard who likes to dab on plebs. Seriously tho, it's fast and intuitive."
Vim,"Available everywhere, like the mode based editing"
Vim,Speed and customisation.
Vim,It’s extremely powerful and fun to learn. Highest skill cap and it’s on every computer.
Vim,I use it everyday and have been for a number of years.
Vim,Best
Vim,Universal
Vim,Vim modes mean fewer chorded shortcuts which help my RSI.
Vim,-
Vim,Ease of use and prebuild in. 
Vim,I enjoy its unique UI and it is fun to use. 
Vim,It's the most natural to me and I know the most about it 
Vim,I like it
Vim,Fast to launch and can read largr file size 
Vim,Keybindings
Vim,Its available on every system and has vim bindings 
Vim,It's superior. 
Vim,Because it's powerful and isn't in the way ever
Vim,"Universality, Portability, "
Vim,I like them keybindings yo
Vim,I’m old
Vim,Everything can be done without moving hands from keyboard
Vim,productivity
Vim,"Im still learning all of the tricks, but it’s the most powerful command-line text editor I’m aware of."
Vim,"Once you get past the steep learning curve, it becomes amazingly easy to use and efficient.  Plus, it has a rich ecosystem of plugins to enhance it and is nearly universally available on Linux distributions."
Vim,portability
Vim,"Good to use, available everywhere"
Vim,"It's small, lighweight and configurable"
Total ,86/822
